player_id,assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
376,0,0,16,0,0.0,3,39215,41,1,0,0.0,6123,0.0,90,0,0,0,0,1,10,2015/16,45,0.0,2,0
376,0,0,81,2,0.0,0,39215,48,2,0,6.9,6853,70.4,416,0,0,0,0,7,11,2016/17,50,0.0,17,0
377,0,4,486,9,0.0,345,55605,47,23,1,0.0,5649,0.0,2261,0,0,0,0,0,9,2014/15,50,0.0,88,3
377,3,16,822,13,0.0,598,55605,64,35,4,0.0,6272,0.0,3420,0,0,0,0,0,10,2015/16,50,0.0,166,3
377,0,4,611,14,102.2,0,55605,64,17,1,108.6,7016,618.4,2601,0,0,0,0,0,11,2016/17,65,363.0,120,1
378,0,0,0,0,0.0,0,38290,75,0,0,0.0,1228,0.0,0,0,0,0,0,0,2,2007/08,75,0.0,0,0
378,0,0,0,0,0.0,0,38290,43,0,0,0.0,1857,0.0,0,0,0,0,0,0,3,2008/09,43,0.0,0,0
378,0,0,0,0,0.0,0,38290,45,0,1,0.0,2515,0.0,45,0,0,0,0,0,4,2009/10,45,0.0,6,0
378,2,2,0,1,0.0,0,38290,44,3,0,0.0,3159,0.0,351,0,0,0,0,0,5,2010/11,45,0.0,17,0
378,0,1,0,1,0.0,51,38290,48,2,0,0.0,3748,0.0,320,0,0,0,1,0,6,2011/12,50,0.0,11,1
378,1,0,0,8,0.0,262,38290,44,36,1,0.0,4462,0.0,2215,0,0,0,0,0,7,2012/13,45,0.0,62,6
378,4,7,80,7,0.0,316,38290,47,27,1,0.0,5155,0.0,1898,0,0,0,1,0,8,2013/14,50,0.0,67,4
378,5,10,520,6,0.0,406,38290,48,38,3,0.0,5567,0.0,2367,0,0,0,0,0,9,2014/15,50,0.0,103,7
378,7,12,536,8,0.0,346,38290,51,19,1,0.0,6274,0.0,2129,0,0,0,0,0,10,2015/16,55,0.0,109,7
378,3,6,357,8,371.5,0,38290,58,11,2,99.6,7017,387.4,1530,0,0,0,0,0,11,2016/17,60,237.0,84,8
379,0,0,0,0,0.0,0,58621,40,3,0,0.0,2509,0.0,180,0,0,0,0,0,4,2009/10,40,0.0,7,0
379,3,5,0,2,0.0,0,58621,40,20,1,0.0,2672,0.0,1341,0,0,0,0,1,5,2010/11,40,0.0,51,3
379,1,8,0,14,0.0,449,58621,65,32,2,0.0,3510,0.0,3227,0,0,0,0,0,6,2011/12,55,0.0,140,4
379,6,9,0,8,0.0,456,58621,61,42,0,0.0,4199,0.0,3157,0,0,0,0,0,7,2012/13,65,0.0,114,5
379,4,15,155,9,0.0,388,58621,59,36,1,0.0,4904,0.0,2297,0,0,0,0,0,8,2013/14,60,0.0,103,5
379,1,1,218,1,0.0,201,58621,58,24,0,0.0,5570,0.0,1306,0,0,0,0,0,9,2014/15,60,0.0,27,3
